Open,Closed,Highest,lowest,Timestamp,Trading volume
249.34,244.07,253,240.03,1649217600000,988183
244.41,242.08,247.22,234.78,1649304000000,714654
239.17,231.19,239.23,230.6201,1649390400000,671401
222.14,219.17,223.1994,216.6,1649649600000,883230
225.37,215.04,227.25,212.8204,1649736000000,926864
217.28,222.03,225,214.55,1649822400000,655301
225.05,212.58,227.77,211.63,1649908800000,789247
212,217.83,220.88,210.79,1650254400000,603364
217.2,221.98,223.73,213.14,1650340800000,590022
225.171,214.82,226.7037,212,1650427200000,639623
217.0915,201.83,223.92,200,1650513600000,939649
203.03,195.15,204.86,195,1650600000000,995921
192.02,199.02,199.45,190.96,1650859200000,719523
197.18,187.88,197.88,186.7,1650945600000,760878
185.98,184.15,191.67,182.9,1651032000000,618285
189.67,197.82,200.37,184.8957,1651118400000,635751
194.02,185.47,201.2848,185.17,1651204800000,612471
185.405,195.33,195.74,183.91,1651464000000,595324
194,196.02,198.25,191.33,1651550400000,502553
199.23,203.34,204,187.51,1651636800000,751637
198.67,188.44,199.25,185,1651723200000,763625
187.36,186.75,195.12,179.9,1651809600000,702413
180.34,169.5,182.55,168.27,1652068800000,822227
176.89,175.95,181.98,170.25,1652155200000,806185
173.47,166.3,177.53,165.68,1652241600000,778025
162.191,161.75,167.88,155.67,1652328000000,903255
167.88,177.06,179.2843,165.925,1652414400000,719347
175.09,172.64,177.88,171.06,1652673600000,483480
180.74,181.77,183.71,176.34,1652760000000,563506
177.05,169.38,181.18,168.64,1652846400000,536759
169.37,171.24,176.87,167.3405,1652932800000,549159
173.32,166.94,174.1,157.55,1653019200000,722854
162.74,168.98,169.15,161.7901,1653278400000,546192
165.1,161.54,165.97,157.8,1653364800000,558878
160.2,169.75,171.1099,160,1653451200000,768374
160.36,178.51,180.92,160.22,1653537600000,914404
181.86,188.11,188.81,181,1653624000000,701004
189.8,186.72,192,183.5,1653969600000,615021
187.24,183.2,190.5318,181.22,1654056000000,535015
182.92,195.92,196.19,181.98,1654142400000,624105
190.815,187.2,193.323,185.2156,1654228800000,548127
191.39,187.86,193.37,185.642,1654488000000,412946
184.72,189.26,190,181.88,1654574400000,398018
187.99,186.48,191.8,185.35,1654660800000,373184
184.81,180.48,189.33,180.41,1654747200000,392445
176,169.74,176.97,168.69,1654833600000,532029
160,156.47,163.12,156.06,1655092800000,698922
157.31,158.36,160.66,154.12,1655179200000,479628
160.95,165.27,168.68,159.26,1655265600000,560818
158.6,156.01,159.4232,154.01,1655352000000,568658
156.48,158.8,159.95,153.28,1655438400000,496529
164.745,165.66,170.08,164.07,1655784000000,518114
162.26,163.6,166.62,161.8,1655870400000,436479
165.185,162.25,165.85,158.53,1655956800000,489644
165,171.26,171.4,163.1,1656043200000,459976
173.12,168.69,173.3,166.255,1656302400000,402904
169,159.82,172.0199,159.45,1656388800000,491605
158.14,155.42,158.2,151.7,1656475200000,545550
153.61,151.59,155.67,148.62,1656561600000,671450
148.99,145.23,150.6291,143.92,1656648000000,624513
141.75,149.64,149.71,140.55,1656993600000,619576
150.1,151.3,153.1899,147.89,1657080000000,466923
154.555,158.58,159.45,153.89,1657166400000,464641
154.3,158.38,160.3699,153.89,1657252800000,415842
155.26,151.52,155.2699,150.3801,1657512000000,414812
152.68,150.82,154.31,148.77,1657598400000,399442
145.9,151.64,153.75,144.65,1657684800000,517679
151.08,153.72,154.7299,147.28,1657771200000,430332
156.59,157.62,157.82,154.45,1657857600000,397233
163.02,161.01,168.97,160.02,1658116800000,668752
164.86,169.92,171.1,161.7201,1658203200000,637964
169.47,178.07,179.325,168.01,1658289600000,703718
178.85,180.5,181.44,175.4456,1658376000000,553632
178.93,173.19,179.67,171.365,1658462400000,537435
170.19,170.24,171.24,166.49,1658721600000,470922
168.89,165.33,169.19,164.78,1658808000000,384814
170.32,177.9,179.36,169.1301,1658894400000,546410
179.75,179.84,181.4,174.4,1658980800000,485291
178.13,181.63,182.44,176.92,1659067200000,437252
181.82,184.41,188.46,179.9,1659326400000,523246
181.22,185.26,189.3753,180.92,1659412800000,494502
181.84,188.93,189.68,181.37,1659499200000,430816
188.49,192.15,192.74,187.6,1659585600000,422007
188.1,189.89,192.2892,186.66,1659672000000,385808
175.02,177.93,182.39,172.42,1659931200000,1094594
172.52,170.86,174.4719,167.24,1660017600000,679606
176.98,180.97,181.18,173.1701,1660104000000,583568
181.31,179.42,187.07,178.76,1660190400000,493486
181.6,187.09,187.18,179.53,1660276800000,438153
187.01,190.32,191.64,186.13,1660536000000,424078
189.195,188.79,191.42,185.01,1660622400000,417452
185.23,183.35,186.88,181.45,1660708800000,435130
183.01,187.73,188.6499,181.83,1660795200000,394486
184.06,178.49,185.2,177.7,1660881600000,434782
174.9,170.34,175.58,169.66,1661140800000,410700
169.885,171.81,174.65,169.7,1661227200000,350212
170.12,172.22,174.06,168.95,1661313600000,506724
168.44,179.13,179.47,168.33,1661400000000,675925
