Open,Closed,Highest,lowest,Timestamp,Trading volume
47.15,45.83,47.275,45.765,1646974800000,173153
45.9,44.4,45.98,44.3,1647230400000,235585
44.5,44.81,44.9,44.07,1647316800000,218867
45.3,46.63,46.63,45.27,1647403200000,262979
46.32,47.14,47.2873,45.73,1647489600000,186102
46.82,47.45,47.6,46.35,1647576000000,180055
47.46,47.39,47.89,47.065,1647835200000,181285
47.5,48.39,48.47,47.4,1647921600000,176546
48.46,48.27,49.58,48.0601,1648008000000,245225
48.66,51.62,51.65,48.59,1648094400000,306649
50.69,51.83,51.9783,50.45,1648180800000,223422
51.36,51.51,51.57,50.56,1648440000000,161989
52,52.25,52.29,51.275,1648526400000,186875
52.25,51.43,52.51,51.22,1648612800000,163193
51.2,49.56,51.26,49.51,1648699200000,244507
49.83,48.11,49.9,47.325,1648785600000,304990
48.17,49.2,49.23,47.915,1649044800000,155457
48.83,48.13,48.98,48.02,1649131200000,171494
47.44,47.54,48.17,47.24,1649217600000,213302
47.425,47.56,47.91,46.77,1649304000000,179128
47.28,47.02,47.58,46.845,1649390400000,153845
46.9,46.57,47.295,46.53,1649649600000,172698
47.32,46.5,47.91,46.41,1649736000000,183369
46.75,47.01,47.2687,46.55,1649822400000,138276
46.745,45.67,46.75,45.62,1649908800000,221063
45.53,46.64,46.89,45.52,1650254400000,159106
46.6,47.93,48,46.34,1650340800000,170818
48.36,48.11,48.75,47.975,1650427200000,157144
48.62,47.5,48.9,47.4,1650513600000,169603
47.45,46.54,47.65,46.5,1650600000000,175312
46.21,47.06,47.14,46.18,1650859200000,230152
46.69,45.52,46.84,45.51,1650945600000,210657
45.48,45.22,46.06,45.01,1651032000000,211340
45.785,46.84,47.27,45.5408,1651118400000,277909
44.99,43.59,45.36,43.5,1651204800000,479322
43.72,44.96,44.99,43.51,1651464000000,297743
44.79,45.06,45.49,44.23,1651550400000,250800
45.06,46.54,46.64,44.41,1651636800000,299078
45.6,44.6,45.91,44.13,1651723200000,327602
44.49,44.3,45.15,43.84,1651809600000,273454
43.81,43.07,44.2,42.87,1652068800000,292898
44.35,44.01,44.735,43.5,1652155200000,293049
44.02,42.83,44.29,42.78,1652241600000,271992
42.73,42.84,42.905,42.01,1652328000000,300763
43.42,43.6,43.84,42.97,1652414400000,179821
43.42,43.08,43.6099,42.785,1652673600000,175155
43.82,44.4,44.42,43.65,1652760000000,185734
43.98,42.35,43.98,42.22,1652846400000,218455
42.32,42.01,42.7,41.72,1652932800000,208616
42.245,41.65,42.29,40.31,1653019200000,279649
41.69,42,42.25,41.325,1653278400000,177306
41.698,41.67,41.89,41.1,1653364800000,183763
41.44,42.2,42.515,41.39,1653451200000,161433
42.17,43.48,43.68,42.08,1653537600000,178265
43.59,44.55,44.55,43.55,1653624000000,165087
44.25,44.42,44.75,43.645,1653969600000,186613
44.77,44.11,44.93,43.525,1654056000000,181573
44.19,44.84,44.88,43.94,1654142400000,169670
44.105,43.39,44.2458,43.34,1654228800000,194022
43.81,43.34,44.04,43.08,1654488000000,154127
43.06,43.53,43.59,42.66,1654574400000,162249
42.25,41.23,42.26,41.03,1654660800000,352602
41.01,40.01,41.35,40.01,1654747200000,244845
39.85,39.18,40.08,39.18,1654833600000,271223
38.55,37.77,38.81,37.67,1655092800000,293197
38.01,37.93,38.2,37.54,1655179200000,209917
38.56,38.65,39.17,37.92,1655265600000,237365
37.695,37.34,37.79,36.93,1655352000000,260593
37.48,36.97,38.12,36.6,1655438400000,270119
37.36,37.73,38.025,37.325,1655784000000,173431
37.33,37.38,37.77,37.22,1655870400000,185858
37.61,37.41,37.62,36.91,1655956800000,180577
37.845,38.61,38.64,37.74,1656043200000,164888
38.87,38.63,39.06,38.4701,1656302400000,156067
38.58,37.78,39.02,37.74,1656388800000,200392
37.54,37.29,37.595,37.02,1656475200000,163739
37.21,37.41,38,36.725,1656561600000,204689
37.09,36.34,37.2,35.88,1656648000000,251678
35.93,36.69,36.74,35.54,1656993600000,204174
36.82,36.99,37.425,36.46,1657080000000,163147
37.89,38.14,38.33,37.73,1657166400000,204070
37.66,37.99,38.14,37.3901,1657252800000,143319
37.66,37.2,37.675,37.03,1657512000000,143359
37.65,37.21,37.7,36.99,1657598400000,170068
36.68,37.21,37.4299,36.62,1657684800000,167610
36.99,37.71,38.155,36.29,1657771200000,213885
38.27,38.62,38.67,37.73,1657857600000,156278
39.1,38.71,39.34,38.525,1658116800000,179672
39.32,40.22,40.73,39.24,1658203200000,263153
40.21,40.56,40.67,39.56,1658289600000,186601
40.51,40.61,40.645,39.82,1658376000000,175242
40.37,39.2,40.51,38.94,1658462400000,223720
39.285,39.16,39.41,38.55,1658721600000,177397
39.1,38.96,39.565,38.88,1658808000000,171753
39.27,40.18,40.425,39.23,1658894400000,215100
40.09,39.71,40.12,39.04,1658980800000,313486
35.605,36.31,36.62,35.24,1659067200000,583359
36.05,36.96,37.69,36.05,1659326400000,289980
36.59,36.01,36.66,36,1659412800000,287622
36.09,36.52,36.59,35.26,1659499200000,298943
36.012,35.66,36.1,35.36,1659585600000,266416
35.345,35.39,35.69,35.18,1659672000000,204628
35.36,35.38,35.96,35.2,1659931200000,223281
35.22,34.52,35.3,34.4,1660017600000,269481
34.99,35.37,35.4,34.59,1660104000000,208628
35.64,35.59,36.29,35.485,1660190400000,178593
35.8,36.11,36.14,35.67,1660276800000,163241
36.1,36.34,36.43,35.71,1660536000000,139507
36.16,36.19,36.575,35.7,1660622400000,143331
35.81,35.78,36.075,35.27,1660708800000,161356
35.68,36.2,36.33,35.57,1660795200000,132403
35.8,35.38,36.025,35.19,1660881600000,147744
35,33.84,35.06,33.73,1661140800000,245378
33.98,33.95,34.39,33.91,1661227200000,151069
33.97,33.86,33.99,33.6,1661313600000,142241
33.87,34.89,34.93,33.82,1661400000000,142442
34.95,33.36,35.025,33.35,1661486400000,211716
33.225,32.94,33.41,32.81,1661745600000,187315
33.04,32.26,33.07,32.15,1661832000000,203307
32.385,31.92,32.385,31.77,1661918400000,207259
31.572,31.76,31.825,31.13,1662004800000,203771
32.21,31.22,32.375,31.06,1662091200000,198599
31.39,30.36,31.39,30.33,1662436800000,251899
30.42,30.65,30.785,30.05,1662523200000,190795
30.37,30.75,30.8469,29.91,1662609600000,214532
31.19,31.46,31.5,31.075,1662696000000,166488
31.735,31.56,31.86,31.1,1662955200000,203942
30.83,29.29,30.93,29.25,1663041600000,321038
29.55,29.18,29.765,29.01,1663128000000,218054
29.15,28.84,29.41,28.71,1663214400000,219711
28.7,29.24,29.32,28.42,1663300800000,257320
29.02,29.44,29.5,28.9,1663560000000,177106
29.065,28.96,29.165,28.71,1663646400000,153424
29.15,28.47,29.59,28.46,1663732800000,217339
28.4,28.07,28.5,28.04,1663819200000,189771
27.9,27.52,27.9,27.19,1663905600000,232728
27.56,26.97,27.6995,26.86,1664164800000,211866
